title,publish_time,read_count,comment_count,recommend_count,summary,url
强化学习（七）时序差分离线控制算法Q-Learning,2018-09-19 19:32,61719,109,15,"摘要：        
在强化学习（六）时序差分在线控制算法SARSA中我们讨论了时序差分的在线控制算法SARSA，而另一类时序差分的离线控制算法还没有讨论，因此本文我们关注于时序差分离线控制算法，主要是经典的Q-Learning算法。 Q-Learning这一篇对应Sutton书的第六章部分和UCL强化学习课程的第五讲部    阅读全文",https://www.cnblogs.com/pinard/p/9669263.html
强化学习（六）时序差分在线控制算法SARSA,2018-09-09 19:30,60939,87,10,"摘要：        
在强化学习（五）用时序差分法（TD）求解中，我们讨论了用时序差分来求解强化学习预测问题的方法，但是对控制算法的求解过程没有深入，本文我们就对时序差分的在线控制算法SARSA做详细的讨论。 SARSA这一篇对应Sutton书的第六章部分和UCL强化学习课程的第五讲部分。 1. SARSA算法的引入 S    阅读全文",https://www.cnblogs.com/pinard/p/9614290.html
强化学习（五）用时序差分法（TD）求解,2018-08-24 18:23,77955,131,16,"摘要：        
在强化学习（四）用蒙特卡罗法（MC）求解中，我们讲到了使用蒙特卡罗法来求解强化学习问题的方法，虽然蒙特卡罗法很灵活，不需要环境的状态转化概率模型，但是它需要所有的采样序列都是经历完整的状态序列。如果我们没有完整的状态序列，那么就无法使用蒙特卡罗法求解了。本文我们就来讨论可以不使用完整状态序列求解强化    阅读全文",https://www.cnblogs.com/pinard/p/9529828.html
强化学习（四）用蒙特卡罗法（MC）求解,2018-08-17 18:04,73480,108,18,"摘要：        
在强化学习（三）用动态规划（DP）求解中，我们讨论了用动态规划来求解强化学习预测问题和控制问题的方法。但是由于动态规划法需要在每一次回溯更新某一个状态的价值时，回溯到该状态的所有可能的后续状态。导致对于复杂问题计算量很大。同时很多时候，我们连环境的状态转化模型$P$都无法知道，这时动态规划法根本没法    阅读全文",https://www.cnblogs.com/pinard/p/9492980.html
强化学习（三）用动态规划（DP）求解,2018-08-12 20:36,74678,103,22,"摘要：        
在强化学习（二）马尔科夫决策过程(MDP)中，我们讨论了用马尔科夫假设来简化强化学习模型的复杂度，这一篇我们在马尔科夫假设和贝尔曼方程的基础上讨论使用动态规划(Dynamic Programming, DP)来求解强化学习的问题。 动态规划这一篇对应Sutton书的第四章和UCL强化学习课程的第三讲    阅读全文",https://www.cnblogs.com/pinard/p/9463815.html
强化学习（二）马尔科夫决策过程(MDP),2018-08-05 18:09,159631,142,26,"摘要：        
在强化学习（一）模型基础中，我们讲到了强化学习模型的8个基本要素。但是仅凭这些要素还是无法使用强化学习来帮助我们解决问题的, 在讲到模型训练前，模型的简化也很重要，这一篇主要就是讲如何利用马尔科夫决策过程(Markov Decision Process，以下简称MDP)来简化强化学习的建模。 MDP    阅读全文",https://www.cnblogs.com/pinard/p/9426283.html
强化学习（一）模型基础,2018-07-29 18:53,154804,75,36,"摘要：        
从今天开始整理强化学习领域的知识，主要参考的资料是Sutton的强化学习书和UCL强化学习的课程。这个系列大概准备写10到20篇，希望写完后自己的强化学习碎片化知识可以得到融会贯通，也希望可以帮到更多的人，毕竟目前系统的讲解强化学习的中文资料不太多。 第一篇会从强化学习的基本概念讲起，对应Sutto    阅读全文",https://www.cnblogs.com/pinard/p/9385570.html
异常点检测算法小结,2018-07-15 19:19,52277,78,11,"摘要：        
异常点检测，有时也叫离群点检测，英文一般叫做Novelty Detection或者Outlier Detection,是比较常见的一类非监督学习算法，这里就对异常点检测算法做一个总结。 1. 异常点检测算法使用场景 什么时候我们需要异常点检测算法呢？常见的有三种情况。一是在做特征工程的时候需要对异常    阅读全文",https://www.cnblogs.com/pinard/p/9314198.html
tensorflow机器学习模型的跨平台上线,2018-07-01 21:42,14307,18,2,"摘要：        
在用PMML实现机器学习模型的跨平台上线中，我们讨论了使用PMML文件来实现跨平台模型上线的方法，这个方法当然也适用于tensorflow生成的模型，但是由于tensorflow模型往往较大，使用无法优化的PMML文件大多数时候很笨拙，因此本文我们专门讨论下tensorflow机器学习模型的跨平台上    阅读全文",https://www.cnblogs.com/pinard/p/9251296.html
用PMML实现机器学习模型的跨平台上线,2018-06-24 15:18,43260,79,15,"摘要：        
在机器学习用于产品的时候，我们经常会遇到跨平台的问题。比如我们用Python基于一系列的机器学习库训练了一个模型，但是有时候其他的产品和项目想把这个模型集成进去，但是这些产品很多只支持某些特定的生产环境比如Java，为了上一个机器学习模型去大动干戈修改环境配置很不划算，此时我们就可以考虑用预测模型标    阅读全文",https://www.cnblogs.com/pinard/p/9220199.html
用tensorflow学习贝叶斯个性化排序(BPR),2018-06-10 17:29,21525,46,5,"摘要：        
在贝叶斯个性化排序(BPR)算法小结中，我们对贝叶斯个性化排序(Bayesian Personalized Ranking, 以下简称BPR)的原理做了讨论，本文我们将从实践的角度来使用BPR做一个简单的推荐。由于现有主流开源类库都没有BPR，同时它又比较简单，因此用tensorflow自己实现一个    阅读全文",https://www.cnblogs.com/pinard/p/9163481.html
贝叶斯个性化排序(BPR)算法小结,2018-06-03 16:22,48502,68,16,"摘要：        
在矩阵分解在协同过滤推荐算法中的应用中，我们讨论过像funkSVD之类的矩阵分解方法如何用于推荐。今天我们讲另一种在实际产品中用的比较多的推荐算法:贝叶斯个性化排序(Bayesian Personalized Ranking, 以下简称BPR)，它也用到了矩阵分解，但是和funkSVD家族却有很多不    阅读全文",https://www.cnblogs.com/pinard/p/9128682.html
特征工程之特征预处理,2018-05-26 20:23,31728,113,27,"摘要：        
在前面我们分别讨论了特征工程中的特征选择与特征表达，本文我们来讨论特征预处理的相关问题。主要包括特征的归一化和标准化，异常特征样本清洗与样本数据不平衡问题的处理。 1. 特征的标准化和归一化 由于标准化和归一化这两个词经常混用，所以本文不再区别标准化和归一化，而通过具体的标准化和归一化方法来区别具体    阅读全文",https://www.cnblogs.com/pinard/p/9093890.html
特征工程之特征表达,2018-05-19 22:39,28361,107,12,"摘要：        
在特征工程之特征选择中，我们讲到了特征选择的一些要点。本篇我们继续讨论特征工程，不过会重点关注于特征表达部分，即如果对某一个特征的具体表现形式做处理。主要包括缺失值处理，特殊的特征处理比如时间和地理位置处理，离散特征的连续化和离散化处理，连续特征的离散化处理几个方面。 1. 缺失值处理 特征有缺失值    阅读全文",https://www.cnblogs.com/pinard/p/9061549.html
特征工程之特征选择,2018-05-13 20:13,57427,115,31,"摘要：        
特征工程是数据分析中最耗时间和精力的一部分工作，它不像算法和模型那样是确定的步骤，更多是工程上的经验和权衡。因此没有统一的方法。这里只是对一些常用的方法做一个总结。本文关注于特征选择部分。后面还有两篇会关注于特征表达和特征预处理。 1. 特征的来源 在做数据分析的时候，特征的来源一般有两块，一块是业    阅读全文",https://www.cnblogs.com/pinard/p/9032759.html
用gensim学习word2vec,2017-08-03 14:12,95611,104,24,"摘要：        
在word2vec原理篇中，我们对word2vec的两种模型CBOW和Skip-Gram，以及两种解法Hierarchical Softmax和Negative Sampling做了总结。这里我们就从实践的角度，使用gensim来学习word2vec。 1. gensim安装与概述 gensim是一    阅读全文",https://www.cnblogs.com/pinard/p/7278324.html
word2vec原理(三) 基于Negative Sampling的模型,2017-07-28 15:56,106063,131,27,"摘要：        
word2vec原理(一) CBOW与Skip-Gram模型基础 word2vec原理(二) 基于Hierarchical Softmax的模型 word2vec原理(三) 基于Negative Sampling的模型 在上一篇中我们讲到了基于Hierarchical Softmax的word2ve    阅读全文",https://www.cnblogs.com/pinard/p/7249903.html
word2vec原理(二) 基于Hierarchical Softmax的模型,2017-07-27 17:26,137960,290,45,"摘要：        
word2vec原理(一) CBOW与Skip-Gram模型基础 word2vec原理(二) 基于Hierarchical Softmax的模型 word2vec原理(三) 基于Negative Sampling的模型 在word2vec原理(一) CBOW与Skip-Gram模型基础中，我们讲到了    阅读全文",https://www.cnblogs.com/pinard/p/7243513.html
word2vec原理(一) CBOW与Skip-Gram模型基础,2017-07-13 16:34,254486,112,44,"摘要：        
word2vec原理(一) CBOW与Skip-Gram模型基础 word2vec原理(二) 基于Hierarchical Softmax的模型 word2vec原理(三) 基于Negative Sampling的模型 word2vec是google在2013年推出的一个NLP工具，它的特点是将所有    阅读全文",https://www.cnblogs.com/pinard/p/7160330.html
条件随机场CRF(三) 模型学习与维特比算法解码,2017-06-23 15:10,28681,66,7,"摘要：        
条件随机场CRF(一)从随机场到线性链条件随机场 条件随机场CRF(二) 前向后向算法评估标记序列概率 条件随机场CRF(三) 模型学习与维特比算法解码 在CRF系列的前两篇，我们总结了CRF的模型基础与第一个问题的求解方法，本文我们关注于linear-CRF的第二个问题与第三个问题的求解。第二个问    阅读全文",https://www.cnblogs.com/pinard/p/7068574.html
条件随机场CRF(二) 前向后向算法评估标记序列概率,2017-06-22 14:14,23246,80,5,"摘要：        
条件随机场CRF(一)从随机场到线性链条件随机场 条件随机场CRF(二) 前向后向算法评估标记序列概率 条件随机场CRF(三) 模型学习与维特比算法解码 在条件随机场CRF(一)中我们总结了CRF的模型，主要是linear-CRF的模型原理。本文就继续讨论linear-CRF需要解决的三个问题：评估    阅读全文",https://www.cnblogs.com/pinard/p/7055072.html
条件随机场CRF(一)从随机场到线性链条件随机场,2017-06-19 17:32,55026,99,21,"摘要：        
条件随机场CRF(一)从随机场到线性链条件随机场 条件随机场CRF(二) 前向后向算法评估标记序列概率 条件随机场CRF(三) 模型学习与维特比算法解码 条件随机场(Conditional Random Fields, 以下简称CRF)是给定一组输入序列条件下另一组输出序列的条件概率分布模型，在自然    阅读全文",https://www.cnblogs.com/pinard/p/7048333.html
用hmmlearn学习隐马尔科夫模型HMM,2017-06-13 16:24,55087,190,15,"摘要：        
在之前的HMM系列中，我们对隐马尔科夫模型HMM的原理以及三个问题的求解方法做了总结。本文我们就从实践的角度用Python的hmmlearn库来学习HMM的使用。关于hmmlearn的更多资料在官方文档有介绍。 1. hmmlearn概述 hmmlearn安装很简单，""pip install hmm    阅读全文",https://www.cnblogs.com/pinard/p/7001397.html
隐马尔科夫模型HMM（四）维特比算法解码隐藏状态序列,2017-06-12 16:57,43481,35,8,"摘要：        
隐马尔科夫模型HMM（一）HMM模型 隐马尔科夫模型HMM（二）前向后向算法评估观察序列概率 隐马尔科夫模型HMM（三）鲍姆-韦尔奇算法求解HMM参数 隐马尔科夫模型HMM（四）维特比算法解码隐藏状态序列 在本篇我们会讨论HMM模型最后一个问题的求解，即即给定模型和观测序列，求给定观测序列条件下，最    阅读全文",https://www.cnblogs.com/pinard/p/6991852.html
隐马尔科夫模型HMM（三）鲍姆-韦尔奇算法求解HMM参数,2017-06-10 21:25,40573,97,12,"摘要：        
隐马尔科夫模型HMM（一）HMM模型 隐马尔科夫模型HMM（二）前向后向算法评估观察序列概率 隐马尔科夫模型HMM（三）鲍姆-韦尔奇算法求解HMM参数 隐马尔科夫模型HMM（四）维特比算法解码隐藏状态序列 在本篇我们会讨论HMM模型参数求解的问题，这个问题在HMM三个问题里算是最复杂的。在研究这个问    阅读全文",https://www.cnblogs.com/pinard/p/6972299.html
隐马尔科夫模型HMM（二）前向后向算法评估观察序列概率,2017-06-08 08:47,63316,61,20,"摘要：        
隐马尔科夫模型HMM（一）HMM模型 隐马尔科夫模型HMM（二）前向后向算法评估观察序列概率 隐马尔科夫模型HMM（三）鲍姆-韦尔奇算法求解HMM参数 隐马尔科夫模型HMM（四）维特比算法解码隐藏状态序列 在隐马尔科夫模型HMM（一）HMM模型中，我们讲到了HMM模型的基础知识和HMM的三个基本问题    阅读全文",https://www.cnblogs.com/pinard/p/6955871.html
隐马尔科夫模型HMM（一）HMM模型,2017-06-06 15:01,120017,37,35,"摘要：        
隐马尔科夫模型HMM（一）HMM模型基础 隐马尔科夫模型HMM（二）前向后向算法评估观察序列概率 隐马尔科夫模型HMM（三）鲍姆-韦尔奇算法求解HMM参数 隐马尔科夫模型HMM（四）维特比算法解码隐藏状态序列 隐马尔科夫模型（Hidden Markov Model，以下简称HMM）是比较经典的机器学    阅读全文",https://www.cnblogs.com/pinard/p/6945257.html
EM算法原理总结,2017-05-27 17:12,103740,131,33,"摘要：        
EM算法也称期望最大化（Expectation-Maximum,简称EM）算法，它是一个基础算法，是很多机器学习领域算法的基础，比如隐式马尔科夫算法（HMM）， LDA主题模型的变分推断等等。本文就对EM算法的原理做一个总结。 1. EM算法要解决的问题 我们经常会从样本观察数据中，找出样本的模型参    阅读全文",https://www.cnblogs.com/pinard/p/6912636.html
用scikit-learn学习LDA主题模型,2017-05-26 15:23,67854,115,13,"摘要：        
在LDA模型原理篇我们总结了LDA主题模型的原理，这里我们就从应用的角度来使用scikit-learn来学习LDA主题模型。除了scikit-learn, 还有spark MLlib和gensim库也有LDA主题模型的类库，使用的原理基本类似，本文关注于scikit-learn中LDA主题模型的使用    阅读全文",https://www.cnblogs.com/pinard/p/6908150.html
文本主题模型之LDA(三) LDA求解之变分推断EM算法,2017-05-22 12:20,32852,101,11,"摘要：        
文本主题模型之LDA(一) LDA基础 文本主题模型之LDA(二) LDA求解之Gibbs采样算法 文本主题模型之LDA(三) LDA求解之变分推断EM算法 本文是LDA主题模型的第三篇，读这一篇之前建议先读文本主题模型之LDA(一) LDA基础，同时由于使用了EM算法，如果你对EM算法不熟悉，建议    阅读全文",https://www.cnblogs.com/pinard/p/6873703.html
文本主题模型之LDA(二) LDA求解之Gibbs采样算法,2017-05-18 10:43,55409,218,10,"摘要：        
文本主题模型之LDA(一) LDA基础 文本主题模型之LDA(二) LDA求解之Gibbs采样算法 文本主题模型之LDA(三) LDA求解之变分推断EM算法 本文是LDA主题模型的第二篇，读这一篇之前建议先读文本主题模型之LDA(一) LDA基础，同时由于使用了基于MCMC的Gibbs采样算法，如果    阅读全文",https://www.cnblogs.com/pinard/p/6867828.html
文本主题模型之LDA(一) LDA基础,2017-05-17 14:37,214235,105,29,"摘要：        
文本主题模型之LDA(一) LDA基础 文本主题模型之LDA(二) LDA求解之Gibbs采样算法 文本主题模型之LDA(三) LDA求解之变分推断EM算法 在前面我们讲到了基于矩阵分解的LSI和NMF主题模型，这里我们开始讨论被广泛使用的主题模型：隐含狄利克雷分布(Latent Dirichlet    阅读全文",https://www.cnblogs.com/pinard/p/6831308.html
文本主题模型之非负矩阵分解(NMF),2017-05-05 14:19,31393,15,9,"摘要：        
在文本主题模型之潜在语义索引(LSI)中，我们讲到LSI主题模型使用了奇异值分解，面临着高维度计算量太大的问题。这里我们就介绍另一种基于矩阵分解的主题模型：非负矩阵分解(NMF)，它同样使用了矩阵分解，但是计算量和处理速度则比LSI快，它是怎么做到的呢？ 1. 非负矩阵分解(NMF)概述 非负矩阵分    阅读全文",https://www.cnblogs.com/pinard/p/6812011.html
文本主题模型之潜在语义索引(LSI),2017-05-04 14:40,40592,48,11,"摘要：        
在文本挖掘中，主题模型是比较特殊的一块，它的思想不同于我们常用的机器学习算法，因此这里我们需要专门来总结文本主题模型的算法。本文关注于潜在语义索引算法(LSI)的原理。 1. 文本主题模型的问题特点 在数据分析中，我们经常会进行非监督学习的聚类算法，它可以对我们的特征数据进行非监督的聚类。而主题模型    阅读全文",https://www.cnblogs.com/pinard/p/6805861.html
英文文本挖掘预处理流程总结,2017-04-24 15:12,27722,16,9,"摘要：        
在中文文本挖掘预处理流程总结中，我们总结了中文文本挖掘的预处理流程，这里我们再对英文文本挖掘的预处理流程做一个总结。 1. 英文文本挖掘预处理特点 英文文本的预处理方法和中文的有部分区别。首先，英文文本挖掘预处理一般可以不做分词（特殊需求除外），而中文预处理分词是必不可少的一步。第二点，大部分英文文    阅读全文",https://www.cnblogs.com/pinard/p/6756534.html
中文文本挖掘预处理流程总结,2017-04-21 16:58,59167,76,20,"摘要：        
在对文本做数据分析时，我们一大半的时间都会花在文本预处理上，而中文和英文的预处理流程稍有不同，本文就对中文文本挖掘的预处理流程做一个总结。 1. 中文文本挖掘预处理特点 首先我们看看中文文本挖掘预处理和英文文本挖掘预处理相比的一些特殊点。 首先，中文文本是没有像英文的单词空格那样隔开的，因此不能直接    阅读全文",https://www.cnblogs.com/pinard/p/6744056.html
文本挖掘预处理之TF-IDF,2017-04-11 14:58,77755,39,20,"摘要：        
在文本挖掘预处理之向量化与Hash Trick中我们讲到在文本挖掘的预处理中，向量化之后一般都伴随着TF-IDF的处理，那么什么是TF-IDF，为什么一般我们要加这一步预处理呢？这里就对TF-IDF的原理做一个总结。 1. 文本向量化特征的不足 在将文本分词并向量化后，我们可以得到词汇表中每个词在各    阅读全文",https://www.cnblogs.com/pinard/p/6693230.html
文本挖掘预处理之向量化与Hash Trick,2017-04-10 14:56,28277,36,8,"摘要：        
在文本挖掘的分词原理中，我们讲到了文本挖掘的预处理的关键一步：“分词”，而在做了分词后，如果我们是做文本分类聚类，则后面关键的特征预处理步骤有向量化或向量化的特例Hash Trick，本文我们就对向量化和特例Hash Trick预处理方法做一个总结。 1. 词袋模型 在讲向量化与Hash Trick    阅读全文",https://www.cnblogs.com/pinard/p/6688348.html
文本挖掘的分词原理,2017-04-07 14:49,37992,65,17,"摘要：        
在做文本挖掘的时候，首先要做的预处理就是分词。英文单词天然有空格隔开容易按照空格分词，但是也有时候需要把多个单词做为一个分词，比如一些名词如“New York”，需要做为一个词看待。而中文由于没有空格，分词就是一个需要专门去解决的问题了。无论是英文还是中文，分词的原理都是类似的，本文就对文本挖掘时的    阅读全文",https://www.cnblogs.com/pinard/p/6677078.html
MCMC(四)Gibbs采样,2017-03-30 17:03,102198,145,30,"摘要：        
MCMC(一)蒙特卡罗方法 MCMC(二)马尔科夫链 MCMC(三)MCMC采样和M-H采样 MCMC(四)Gibbs采样 在MCMC(三)MCMC采样和M-H采样中，我们讲到了M-H采样已经可以很好的解决蒙特卡罗方法需要的任意概率分布的样本集的问题。但是M-H采样有两个缺点：一是需要计算接受率，在    阅读全文",https://www.cnblogs.com/pinard/p/6645766.html
MCMC(三)MCMC采样和M-H采样,2017-03-29 15:17,122703,267,34,"摘要：        
MCMC(一)蒙特卡罗方法 MCMC(二)马尔科夫链 MCMC(三)MCMC采样和M-H采样 MCMC(四)Gibbs采样 在MCMC(二)马尔科夫链中我们讲到给定一个概率平稳分布$\pi$, 很难直接找到对应的马尔科夫链状态转移矩阵$P$。而只要解决这个问题，我们就可以找到一种通用的概率分布采样方    阅读全文",https://www.cnblogs.com/pinard/p/6638955.html
MCMC(二)马尔科夫链,2017-03-28 15:05,120941,150,49,"摘要：        
MCMC(一)蒙特卡罗方法 MCMC(二)马尔科夫链 MCMC(三)MCMC采样和M-H采样 MCMC(四)Gibbs采样 在MCMC(一)蒙特卡罗方法中，我们讲到了如何用蒙特卡罗方法来随机模拟求解一些复杂的连续积分或者离散求和的方法，但是这个方法需要得到对应的概率分布的样本集，而想得到这样的样本集    阅读全文",https://www.cnblogs.com/pinard/p/6632399.html
MCMC(一)蒙特卡罗方法,2017-03-27 15:08,182311,116,69,"摘要：        
MCMC(一)蒙特卡罗方法 MCMC(二)马尔科夫链 MCMC(三)MCMC采样和M-H采样 MCMC(四)Gibbs采样 作为一种随机采样方法，马尔科夫链蒙特卡罗（Markov Chain Monte Carlo，以下简称MCMC）在机器学习,深度学习以及自然语言处理等领域都有广泛的应用，是很多复    阅读全文",https://www.cnblogs.com/pinard/p/6625739.html
